YM,GRADE_CD,GRADE_NM,AGING,EFF_CNT,MAU,DAU
202506,BK,Black,안정화(6~11M),7809,4329,1305
202506,BK,Black,온보딩(3~5M),4710,2784,863
202506,BK,Black,장기 유지(13M~),19286,15448,6541
202506,BK,Black,하락가망(12M),425,315,129
202506,GD,Gold,신규 유입(0~2M),164,96,30
202506,GD,Gold,안정화(6~11M),920,506,206
202506,GD,Gold,온보딩(3~5M),277,130,48
202506,GD,Gold,장기 유지(13M~),4925,3669,1835
202506,GD,Gold,하락가망(12M),121,68,32
202506,PT,Platinum,신규 유입(0~2M),21,9,1
202506,PT,Platinum,안정화(6~11M),133,61,22
202506,PT,Platinum,온보딩(3~5M),52,16,3
202506,PT,Platinum,장기 유지(13M~),1615,961,405
202506,PT,Platinum,하락가망(12M),28,13,5
202506,SP,S-Platinum,신규 유입(0~2M),3,2,1
202506,SP,S-Platinum,안정화(6~11M),5,2,1
202506,SP,S-Platinum,온보딩(3~5M),1,1,1
202506,SP,S-Platinum,장기 유지(13M~),97,67,40
202506,SP,S-Platinum,하락가망(12M),2,2,1
202506,SV,Silver,신규 유입(0~2M),628,377,116
202506,SV,Silver,안정화(6~11M),2637,1654,597
202506,SV,Silver,온보딩(3~5M),1095,656,245
202506,SV,Silver,장기 유지(13M~),11640,9289,4453
202506,SV,Silver,하락가망(12M),219,152,64
202507,BK,Black,신규 유입(0~2M),4889,3410,1141
202507,BK,Black,안정화(6~11M),8329,4463,1280
202507,BK,Black,온보딩(3~5M),4813,2845,817
202507,BK,Black,장기 유지(13M~),19362,15257,6220
202507,BK,Black,하락가망(12M),332,213,75
202507,GD,Gold,신규 유입(0~2M),156,91,26
202507,GD,Gold,안정화(6~11M),927,502,196
202507,GD,Gold,온보딩(3~5M),277,115,40
202507,GD,Gold,장기 유지(13M~),4948,3642,1791
202507,GD,Gold,하락가망(12M),101,51,19
202507,PT,Platinum,신규 유입(0~2M),20,13,2
202507,PT,Platinum,안정화(6~11M),124,56,18
202507,PT,Platinum,온보딩(3~5M),45,11,2
202507,PT,Platinum,장기 유지(13M~),1644,970,382
202507,PT,Platinum,하락가망(12M),27,13,4
202507,SP,S-Platinum,신규 유입(0~2M),4,4,2
202507,SP,S-Platinum,안정화(6~11M),4,1,1
202507,SP,S-Platinum,온보딩(3~5M),2,2,1
202507,SP,S-Platinum,장기 유지(13M~),99,67,38
202507,SP,S-Platinum,하락가망(12M),1,0,0
202507,SV,Silver,신규 유입(0~2M),483,285,86
202507,SV,Silver,안정화(6~11M),2731,1684,566
202507,SV,Silver,온보딩(3~5M),1050,591,204
202507,SV,Silver,장기 유지(13M~),11608,9147,4237
202507,SV,Silver,하락가망(12M),186,124,52
202508,BK,Black,신규 유입(0~2M),4285,2978,1033
202508,BK,Black,안정화(6~11M),8748,4501,1243
202508,BK,Black,온보딩(3~5M),4904,2795,801
202508,BK,Black,장기 유지(13M~),19526,15075,6007
202508,BK,Black,하락가망(12M),388,255,95
202508,GD,Gold,신규 유입(0~2M),138,87,18
202508,GD,Gold,안정화(6~11M),940,481,182
202508,GD,Gold,온보딩(3~5M),274,123,46
202508,GD,Gold,장기 유지(13M~),5002,3549,1722
202508,GD,Gold,하락가망(12M),83,50,24
202508,PT,Platinum,신규 유입(0~2M),18,6,1
202508,PT,Platinum,안정화(6~11M),118,45,11
202508,PT,Platinum,온보딩(3~5M),28,6,1
202508,PT,Platinum,장기 유지(13M~),1672,961,368
202508,PT,Platinum,하락가망(12M),28,15,8
202508,SP,S-Platinum,신규 유입(0~2M),4,3,1
202508,SP,S-Platinum,안정화(6~11M),3,1,1
202508,SP,S-Platinum,온보딩(3~5M),2,1,1
202508,SP,S-Platinum,장기 유지(13M~),100,70,40
202508,SP,S-Platinum,하락가망(12M),1,1,1
202508,SV,Silver,신규 유입(0~2M),415,250,83
202508,SV,Silver,안정화(6~11M),2780,1643,561
202508,SV,Silver,온보딩(3~5M),974,495,162
202508,SV,Silver,장기 유지(13M~),11545,8923,4005
202508,SV,Silver,하락가망(12M),179,117,44
202509,BK,Black,신규 유입(0~2M),4424,3179,1198
202509,BK,Black,안정화(6~11M),8757,4547,1309
202509,BK,Black,온보딩(3~5M),4520,2654,833
202509,BK,Black,장기 유지(13M~),19670,15441,6481
202509,BK,Black,하락가망(12M),371,273,112
202509,GD,Gold,신규 유입(0~2M),139,82,23
202509,GD,Gold,안정화(6~11M),936,501,194
202509,GD,Gold,온보딩(3~5M),278,136,54
202509,GD,Gold,장기 유지(13M~),5058,3707,1859
202509,GD,Gold,하락가망(12M),128,77,33
202509,PT,Platinum,신규 유입(0~2M),24,12,2
202509,PT,Platinum,안정화(6~11M),102,33,7
202509,PT,Platinum,온보딩(3~5M),21,6,1
202509,PT,Platinum,장기 유지(13M~),1701,980,391
202509,PT,Platinum,하락가망(12M),28,13,5
202509,SP,S-Platinum,신규 유입(0~2M),2,0,0
202509,SP,S-Platinum,안정화(6~11M),4,1,1
202509,SP,S-Platinum,온보딩(3~5M),3,2,1
202509,SP,S-Platinum,장기 유지(13M~),101,73,43
202509,SV,Silver,신규 유입(0~2M),489,314,110
202509,SV,Silver,안정화(6~11M),2803,1699,602
202509,SV,Silver,온보딩(3~5M),875,475,167
202509,SV,Silver,장기 유지(13M~),11418,8848,4195
202509,SV,Silver,하락가망(12M),222,141,63
202510,BK,Black,신규 유입(0~2M),5541,3960,1451
202510,BK,Black,안정화(6~11M),8118,4502,1355
202510,BK,Black,온보딩(3~5M),3709,2295,764
202510,BK,Black,장기 유지(13M~),19485,15646,6748
202510,BK,Black,하락가망(12M),554,376,129
202510,GD,Gold,신규 유입(0~2M),185,123,39
202510,GD,Gold,안정화(6~11M),930,518,200
202510,GD,Gold,온보딩(3~5M),272,139,49
202510,GD,Gold,장기 유지(13M~),5102,3753,1907
202510,GD,Gold,하락가망(12M),128,74,30
202510,PT,Platinum,신규 유입(0~2M),17,8,1
202510,PT,Platinum,안정화(6~11M),90,27,5
202510,PT,Platinum,온보딩(3~5M),20,2,1
202510,PT,Platinum,장기 유지(13M~),1730,986,398
202510,PT,Platinum,하락가망(12M),23,8,2
202510,SP,S-Platinum,안정화(6~11M),3,0,0
202510,SP,S-Platinum,온보딩(3~5M),4,1,1
202510,SP,S-Platinum,장기 유지(13M~),101,72,40
202510,SP,S-Platinum,하락가망(12M),2,1,1
202510,SV,Silver,신규 유입(0~2M),754,471,148
202510,SV,Silver,안정화(6~11M),2666,1663,605
202510,SV,Silver,온보딩(3~5M),793,453,176
202510,SV,Silver,장기 유지(13M~),11431,8990,4320
202510,SV,Silver,하락가망(12M),271,185,79
202511,BK,Black,신규 유입(0~2M),7015,5017,1804
202511,BK,Black,안정화(6~11M),7315,4208,1315
202511,BK,Black,온보딩(3~5M),2972,1866,680
202511,BK,Black,장기 유지(13M~),19558,15760,6945
202511,BK,Black,하락가망(12M),511,376,146
202511,GD,Gold,신규 유입(0~2M),223,142,45
202511,GD,Gold,안정화(6~11M),877,472,188
202511,GD,Gold,온보딩(3~5M),277,134,48
202511,GD,Gold,장기 유지(13M~),5167,3827,1983
202511,GD,Gold,하락가망(12M),173,107,48
