CURR_STD_YM,GRAD_STATUS,GRAD_MOVEMENT,CURR_GRAD_GB,CURR_NLINE_MEM_GRAD_CD,CURR_NLINE_MEM_GRAD_NM,PREV_GRAD_GB,PREV_NLINE_MEM_GRAD_CD,PREV_NLINE_MEM_GRAD_NM,CUST_CNT,MAU,DAU
202506,이탈,승급,일반,RD,Red,VIP,SV,Silver,44,17,3
202506,이탈,승급,일반,RD,Red,일반,PP,Purple,12134,7921,2265
202506,이탈,하락,VIP,BK,Black,일반,PP,Purple,4095,3079,1133
202506,이탈,하락,VIP,BK,Black,일반,RD,Red,674,223,45
202506,이탈,하락,VIP,GD,Gold,VIP,BK,Black,24,7,2
202506,이탈,하락,VIP,GD,Gold,VIP,SV,Silver,701,495,224
202506,이탈,하락,VIP,GD,Gold,일반,PP,Purple,5,4,1
202506,이탈,하락,VIP,GD,Gold,일반,RD,Red,4,2,1
202506,이탈,하락,VIP,SP,S-Platinum,일반,RD,Red,1,1,1
202506,이탈,하락,VIP,SV,Silver,VIP,BK,Black,1897,1363,591
202506,이탈,하락,VIP,SV,Silver,일반,PP,Purple,137,77,16
202506,이탈,하락,VIP,SV,Silver,일반,RD,Red,76,29,8
202506,이탈,하락,일반,PP,Purple,일반,RD,Red,13647,7593,1968
202507,이탈,승급,VIP,BK,Black,VIP,GD,Gold,10,9,2
202507,이탈,승급,VIP,BK,Black,VIP,SV,Silver,1500,1207,565
202507,이탈,승급,VIP,SV,Silver,VIP,GD,Gold,540,404,201
202507,이탈,승급,일반,PP,Purple,VIP,BK,Black,3458,2841,1137
202507,이탈,승급,일반,PP,Purple,VIP,GD,Gold,5,2,1
202507,이탈,승급,일반,PP,Purple,VIP,SV,Silver,79,60,18
202507,이탈,승급,일반,RD,Red,VIP,BK,Black,349,162,34
202507,이탈,승급,일반,RD,Red,VIP,GD,Gold,15,7,1
202507,이탈,승급,일반,RD,Red,VIP,SV,Silver,52,23,4
202507,이탈,승급,일반,RD,Red,일반,PP,Purple,10367,7170,1947
202507,이탈,하락,VIP,BK,Black,일반,PP,Purple,3898,2955,1062
202507,이탈,하락,VIP,BK,Black,일반,RD,Red,492,173,35
202507,이탈,하락,VIP,GD,Gold,VIP,BK,Black,12,6,2
202507,이탈,하락,VIP,GD,Gold,VIP,SV,Silver,635,456,205
202507,이탈,하락,VIP,GD,Gold,일반,PP,Purple,8,5,1
202507,이탈,하락,VIP,GD,Gold,일반,RD,Red,4,3,1
202507,이탈,하락,VIP,PT,Platinum,일반,RD,Red,1,1,1
202507,이탈,하락,VIP,SV,Silver,VIP,BK,Black,1703,1278,527
202507,이탈,하락,VIP,SV,Silver,일반,PP,Purple,117,56,15
202507,이탈,하락,VIP,SV,Silver,일반,RD,Red,67,23,6
202507,이탈,하락,일반,PP,Purple,일반,RD,Red,12301,7061,1836
