CURR_STD_YM,GRAD_STATUS,GRAD_MOVEMENT,CURR_GRAD_GB,CURR_NLINE_MEM_GRAD_CD,CURR_NLINE_MEM_GRAD_NM,PREV_GRAD_GB,PREV_NLINE_MEM_GRAD_CD,PREV_NLINE_MEM_GRAD_NM,CUST_CNT,MAU,DAU
202508,유입,하락,VIP,BK,Black,VIP,GD,Gold,9,3,2
202508,유입,하락,VIP,BK,Black,VIP,SV,Silver,1438,1035,419
202508,유입,하락,VIP,SV,Silver,VIP,GD,Gold,510,362,160
202508,유입,하락,일반,PP,Purple,VIP,BK,Black,3201,2413,808
202508,유입,하락,일반,PP,Purple,VIP,GD,Gold,8,6,2
202508,유입,하락,일반,PP,Purple,VIP,SV,Silver,95,49,14
202508,유입,하락,일반,RD,Red,VIP,BK,Black,379,145,24
202508,유입,하락,일반,RD,Red,VIP,GD,Gold,8,4,1
202508,유입,하락,일반,RD,Red,VIP,SV,Silver,44,20,3
202508,유입,하락,일반,RD,Red,일반,PP,Purple,10177,5707,1336
202508,유지,-,VIP,BK,Black,VIP,BK,Black,32992,22365,7971
202508,유지,-,VIP,GD,Gold,VIP,GD,Gold,5867,3992,1859
202508,유지,-,VIP,PT,Platinum,VIP,PT,Platinum,1849,1052,407
202508,유지,-,VIP,SP,S-Platinum,VIP,SP,S-Platinum,107,71,40
202508,유지,-,VIP,SV,Silver,VIP,SV,Silver,14123,10307,4456
202508,유지,-,일반,PP,Purple,일반,PP,Purple,124255,70353,19203
202508,유지,-,일반,RD,Red,일반,RD,Red,3339978,462936,62054
202509,유입,승급,VIP,BK,Black,일반,PP,Purple,2742,2323,1031
202509,유입,승급,VIP,BK,Black,일반,RD,Red,484,322,79
202509,유입,승급,VIP,GD,Gold,VIP,BK,Black,16,12,5
202509,유입,승급,VIP,GD,Gold,VIP,SV,Silver,485,356,187
202509,유입,승급,VIP,GD,Gold,일반,PP,Purple,6,6,2
202509,유입,승급,VIP,GD,Gold,일반,RD,Red,34,31,5
202509,유입,승급,VIP,PT,Platinum,일반,RD,Red,4,4,1
202509,유입,승급,VIP,SV,Silver,VIP,BK,Black,1176,937,469
202509,유입,승급,VIP,SV,Silver,일반,PP,Purple,63,43,20
202509,유입,승급,VIP,SV,Silver,일반,RD,Red,95,73,13
202509,유입,승급,일반,PP,Purple,일반,RD,Red,9534,7824,2463
202509,유입,하락,VIP,BK,Black,VIP,GD,Gold,13,8,2
202509,유입,하락,VIP,BK,Black,VIP,SV,Silver,1390,979,383
202509,유입,하락,VIP,SV,Silver,VIP,GD,Gold,498,345,142
202509,유입,하락,일반,PP,Purple,VIP,BK,Black,2878,2082,685
202509,유입,하락,일반,PP,Purple,VIP,GD,Gold,2,0,
202509,유입,하락,일반,PP,Purple,VIP,SV,Silver,86,39,9
202509,유입,하락,일반,RD,Red,VIP,BK,Black,426,126,20
202509,유입,하락,일반,RD,Red,VIP,GD,Gold,1,0,
202509,유입,하락,일반,RD,Red,VIP,SV,Silver,35,15,2
202509,유입,하락,일반,RD,Red,일반,PP,Purple,9457,5100,1252
202509,유지,-,VIP,BK,Black,VIP,BK,Black,33184,21944,7672
202509,유지,-,VIP,GD,Gold,VIP,GD,Gold,5891,3881,1790
202509,유지,-,VIP,PT,Platinum,VIP,PT,Platinum,1860,1029,386
202509,유지,-,VIP,SP,S-Platinum,VIP,SP,S-Platinum,109,75,41
202509,유지,-,VIP,SV,Silver,VIP,SV,Silver,14047,10019,4206
202509,유지,-,일반,PP,Purple,일반,PP,Purple,124891,68325,18496
202509,유지,-,일반,RD,Red,일반,RD,Red,3384679,444132,59949
202510,유입,승급,VIP,BK,Black,일반,PP,Purple,3422,2944,1345
202510,유입,승급,VIP,BK,Black,일반,RD,Red,708,481,125
202510,유입,승급,VIP,GD,Gold,VIP,BK,Black,24,18,7
202510,유입,승급,VIP,GD,Gold,VIP,SV,Silver,656,491,266
202510,유입,승급,VIP,GD,Gold,일반,PP,Purple,13,8,4
202510,유입,승급,VIP,GD,Gold,일반,RD,Red,40,32,5
202510,유입,승급,VIP,PT,Platinum,일반,RD,Red,13,12,2
202510,유입,승급,VIP,SV,Silver,VIP,BK,Black,1557,1242,628
202510,유입,승급,VIP,SV,Silver,일반,PP,Purple,134,92,41
202510,유입,승급,VIP,SV,Silver,일반,RD,Red,143,110,29
202510,유입,승급,일반,PP,Purple,일반,RD,Red,12072,9955,3196
202510,유입,하락,VIP,BK,Black,VIP,GD,Gold,16,9,3
202510,유입,하락,VIP,BK,Black,VIP,SV,Silver,1631,1189,476
202510,유입,하락,VIP,SV,Silver,VIP,GD,Gold,601,400,173
202510,유입,하락,일반,PP,Purple,VIP,BK,Black,3566,2604,885
202510,유입,하락,일반,PP,Purple,VIP,GD,Gold,6,2,1
202510,유입,하락,일반,PP,Purple,VIP,SV,Silver,150,79,18
202510,유입,하락,일반,RD,Red,VIP,BK,Black,726,247,40
202510,유입,하락,일반,RD,Red,VIP,GD,Gold,4,1,1
202510,유입,하락,일반,RD,Red,VIP,SV,Silver,85,32,7
202510,유입,하락,일반,RD,Red,일반,PP,Purple,12071,6221,1564
202510,유지,-,VIP,BK,Black,VIP,BK,Black,31930,21445,7973
202510,유지,-,VIP,GD,Gold,VIP,GD,Gold,5803,3952,1880
202510,유지,-,VIP,PT,Platinum,VIP,PT,Platinum,1863,1032,404
202510,유지,-,VIP,SP,S-Platinum,VIP,SP,S-Platinum,109,75,44
202510,유지,-,VIP,SV,Silver,VIP,SV,Silver,13356,9617,4257
202510,유지,-,일반,PP,Purple,일반,PP,Purple,121729,68180,19486
202510,유지,-,일반,RD,Red,일반,RD,Red,3422283,444958,63421
202511,유입,승급,VIP,BK,Black,일반,PP,Purple,4259,3497,1565
202511,유입,승급,VIP,BK,Black,일반,RD,Red,1182,773,200
202511,유입,승급,VIP,GD,Gold,VIP,BK,Black,32,18,10
202511,유입,승급,VIP,GD,Gold,VIP,SV,Silver,771,542,287
202511,유입,승급,VIP,GD,Gold,일반,PP,Purple,16,10,6
202511,유입,승급,VIP,GD,Gold,일반,RD,Red,50,42,8
202511,유입,승급,VIP,PT,Platinum,일반,RD,Red,4,3,1
202511,유입,승급,VIP,SV,Silver,VIP,BK,Black,2054,1608,802
202511,유입,승급,VIP,SV,Silver,일반,PP,Purple,222,139,51
202511,유입,승급,VIP,SV,Silver,일반,RD,Red,252,169,36
202511,유입,승급,일반,PP,Purple,일반,RD,Red,15756,12437,3833
202511,유입,하락,VIP,BK,Black,VIP,GD,Gold,39,24,10
